georgian,english
ნიკორა.,Nikora.
თიბისი.,TBC.
გაერთიანებულ სამეფოში.,the United Kingdom.
პოლონეთი.,Poland.
იტალიური.,Italian.
ოსლოში.,Oslo.
"ტომი ან იდიოტია, ან გენიოსია.",Tom is either an idiot or a genius.
ფონდის.,Foundation.
ნიკორა.,Nikora.
რაღაც ვთქვი.,I said something.
წელიწადი მთავრდება.,The year ends.
ადამიანის უფლებათა ცენტრმა.,Human Rights Center.
რომელი წიგნი გინდა?,Which book do you want?
სოციალური მედია.,Social Media.
საქართველ ო.,Georgia.
ბათუმი > სასტუმროები.,Batumi > Hotels.
ბელგიის.,Belgian.
სამიზნე.,Target.
ევროკავშირი.,EU.
საფრანგეთშ.,France.
ბერძნული.,Greek.
ბაბილონის.,Babylon.
ცხენი არ არის თეთრი.,The horse is not white.
დალევა არავის უნდა?,Nobody wants to drink?
საბჭოს.,Council.
თქვენ შემდეგ.,After you.
ის ხედავს შენი ცხენს.,She sees your horse.
ბრაზილიაში.,Brazil.
რუსთაველის.,Rustaveli.
ხილი გვაქვს.,We have fruit.
ქრისტეს.,Christ.
გიგანტური მთები.,Giant Mountains.
სახლში დარჩით.,Stay home.
სომხეთის.,Armenia.
კიევში.,Kiev.
ლუკა.,Luke.
FX ექსპერტი მრჩეველი.,FX Expert Advisor.
ახალგაზრდობის საქმეთა სამინისტრ.,Youth Affairs.
სამხრეთ აზიის.,Southeast Asia.
ვიეტნამი.,Vietnam.
მარტვილის.,Martvili.
არგენტინა.,Argentina.
გლდანი.,Gldani.
იემენის.,Yemen.
ბანგლადეშის.,Bangladesh.
ჩვენ დავრჩით დორჩესტერში.,We stayed in Dorchester.
ძალიან კარგი იქნება.,He will be very nice.
ლათინურ ამერიკაში.,Latin America.
ტრამპი.,Trump.
ნათია თურნავა.,Natia Turnava.
სამხრეთ კორეა.,South Korea.
ტომს დღეს აქვს შეხვედრა.,Tom has an appointment today.
ევროპა კონტინენტია.,Europe is a continent.
ბრიტანეთის საბჭოს.,British Council.
მოდა და სილამაზის.,Fashion Beauty.
ბუდისტური.,Thai.
მიხეილ სააკაშვილი.,Mikheil Saakashvili.
ყველამ გაიმეორეთ ჩემს შემდეგ.,Read after me all together.
ორშაბათს ამას ვერ გავაკეთებთ.,We can't do that on Monday.
მე არა ვარ კარგი ადამიანი.,I'm not a good person.
რამდენ ხანს ტომმა დარჩი ავსტრალიაში?,How long was Tom in Australia?
დასაწყისი.,Deutsch Dhivehi.
ჯავახეთში.,Javakheti.
მე მას გასაღები მივეცი.,I gave him the key.
ცხენზე შემჯდარმა კაცმა ჩამოგვიარა.,A man on horseback came along the path.
ნაყინის ჭამა მინდა.,I want to eat ice cream.
ტომი როგორ არის ავსტრალიაში?,How's Tom doing in Australia?
მერი რომანტიული კომედიები მოსწონს.,Mary likes romantic comedies.
ასპინძის.,Aspindza.
წყალი კარგი სასმელია.,Water is a good drink.
ქობულეთის.,Kobuleti.
არის ტომი უფრო ახალგაზრდა ან უფრო მოხუცი ვიდრე შენ?,Is Tom younger or older than you?
კანონი.,Law.
ბიზანტიური.,Byzantine.
მავრიტანია.,Mauritania.
"იმის მიღება, რაც გინდა, ღიმილით უფრო მარტივია ვიდრე ხმლის წვერით.",It's easier to get what you want with a smile than with the tip of the sword.
ცივი ომის.,Cold War.
გერმანიაში წასვლა მინდა.,I want to go to Germany.
გვეძინა.,We slept.
ო Jet აეროპორტში.,Jet airport.
ოდესმე გიჭამია უმი თევზი?,Have you ever eaten raw fish?
ასურელები.,Assyrians.
ცენტრალური საარჩევნო კომისიის.,the Central Election Commission.
მარი.,Marie.
სენატის.,Senate.
გოგო ჩაის სვამს.,The girl is drinking tea.
კონტაქტი.,the Contact Us.
"მითხრა, ვინ არის ეს ვაჟი?",Tell me; who is this young man?
Jumma მუბარაქის.,Jumma Mubarak.
ასე ხმალი მინდა!,I want a sword like this!
ევროპარლამენტის.,the European Parliament.
მოსკოვში.,Moscow.
გუდაურში.,Gudauri.
აფხაზეთის ავტონომიური რესპუბლიკის.,the Autonomous Republic of Abkhazia.
თურქეთში.,Turkey.
ნატოს.,NATO.
შენ სპილოები მოგწონს.,You like elephants.
კანონის.,Law.
ქუთაისი.,Kutaisi.
სად არის საჭმელი?,Where is the food?
შვედეთში წასვლა მინდა.,I want to go to Sweden.
ესკოს მიერ.,ESCO.
"გასულ ღამეს ვესიზმრებოდი, რომ მე ფუტკარს ვჭამდი.",Last night I dreamt I was eating bees.
კონგრესი.,Congress.
"სექსის დროს პრეზერვატივს თუკი არ გამოიყენებ, შეიძლება დაავადება აიკიდო.","If you don't use a condom during sex, you can catch a disease."
სპილოებს დიდი ყურები აქვთ.,Elephants have big ears.
ტომს ავსტრალია მოეწონა?,Did Tom like Australia?
ვეთანხმებით.,We agree.
მოსკოვშ.,Moscow.
ეგ მაგიდა ბინძურია.,That table is dirty.
შოტლანდიაში.,Scotland.
გადავიტანეთ.,We survived.
მარი ერთ-ერათი ყველაზე პოპულარული გოგო იყო.,Mary wasn't one of the most popular girls.
სახელმწიფო უსაფრთხოების სამსახურის.,State Security Service.
ჩვენ ერთად გადავწყვიტეთ.,We decide together.
მსოფლიო ბანკის.,World Bank.
გემი ნაპირის გასწვრივ იყო.,The ship was abreast of the shore.
გამარჯობა!,Welcome.
ევროკომისია.,The European Commission.
საუდის არაბეთის.,Saudi Arabia.
"ეს მინდა, რომ ნინომ მოიგოს.",I want Nino to win.
ბანგკოკში.,Bangkok.
ესპანეთი.,Spain.
გთხოვთ მაჩვენოთ ის დოკუმენტები.,Please show me those documents.
რომაელები.,Romans.
პაკისტანის.,Pakistan.
სომხეთს.,Armenia.
ჩემი სახელია ჯეკი.,My name is Jack.
ჩემი სახელია ირაკლი.,My name is Irakli.
ტუნისი.,Tunisia.
ბოსნია.,Bosnia.
ლაგუნა ვერ.,Laguna.
Superb სამსახურის.,Superb Service.
FM Transmitter და სატელევიზიო გადამცემის და IPTV.,FM Transmitter TV Transmitter Antenna Coaxial Cable Studio Equipments.
პრეზერვატივი გააქვს?,Do you have any condoms?
უელსში.,Wales.
პროკურატურის.,the Prosecutor 's Office.
ეს კარგი პასუხია.,That's a good answer.
აფგან მუხთარლის.,Afgan Mukhtarli.
ინდონეზია.,Indonesia.
ნატო.,Nato.
ლარის.,Lari.
ეს ახალი ერის დასაწყისია.,This is the beginning of a new era.
ჰონგ კონგი.,Hong Kong.
ესპანური.,Spanish.
კარიბის.,Caribbean.
ათი საათია.,It's ten o'clock.
მინდა მასთან ლაპარაკი.,I want to talk to her.
რუსთავი.,Rustavi.
შვებულებაში წავალ საფრანგეთში.,I will go to France on holiday.
უკრაინელები.,Ukrainians.
ის ბრისბენში ცხოვრობს.,She lives in Brisbane.
ეს ტომისაა.,This is Tom's.
ვჭამთ.,We eat.
სამხრეთ ამერიკის.,South American.
რა უპასუხე?,What did you answer?
მე აქა ვარ.,I'm here.
აზიური.,Asian.
ილინოისის.,Illinois.
ბებიაჩემს არ აქვს ინტერნეტი.,My grandma doesn't have the internet.
ფინეთი.,Finland.
EU ევროკომისია.,EU European Commission.
აფხაზეთში.,Abkhazia.
ჩამოტვირთვა.,Mt Adams.
რატომ გძინავთ?,Why are you sleeping?
ჩიკაგოში.,Chicago.
კომპიუტერს თუ გამოიყენებ ინფორმაციის შენახვას შეძლებ.,"If you use a computer, you can retain information."
მისამართი :,Circusfans Italia.
HGH ტაილანდის.,HGH.
ებრაულად ლაპარაკობთ?,Do you speak Hebrew?
სერგე ი ივანოვი.,Sergey Ivanov.
მწუხარე ხართ.,You're sad.
ჰეროდე.,Herod.
თელავის.,Telavi.
ჩანგალი და დანა გაქვს?,Do you have a fork and a knife?
რუსეთში.,Russia.
პეტერბურგში.,St Petersburg.
ტომიც მუშაობს ავსტრალიაში?,"Does Tom work in Australia, too?"
